"MEMBER.ID"	"MEMBER.TYPE"	"MARKETING.ROLE"	"MEMBER.SINCE.DATE"	"EXPIRATION.DATE"	"STATUS"	"MARKETINGPOWER.STATUS"	"PREFIX"	"SUFFIX"	"ADDRESS.CHANGE.DATE"	"COMMUNICATION.CHANGE.DATE"	"ALLOW.EMAIL.FLAG"	"COMPANY.NAME"	"JOB.TITLE"	"PRIMARY.ADDRESS.TYPE"	"PRIMARY.CITY"	"PRIMARY.STATE"	"PRIMARY.POSTAL.CODE"	"PRIMARY.COUNTRY"	"PRIMARY.PHONE.LOCATION"	"ALLOW.PHONE.CALLS"	"SECONDARY.ADDRESS.TYPE"	"SECONDARY.CITY"	"SECONDARY.STATE"	"SECONDARY.POSTAL.CODE"	"SECONDARY.COUNTRY"	"GROUP"	"MARKETING.RESPONSIBILITY"	"STUDENT.GRADUATION.DATE"	"HIGHEST.DEGREE"	"YEARS.IN.MARKETING"	"JOB.TITLE.CATEGORY"	"INDUSTRY"	"COMPANY.SALES.REVENUE"	"COMPANY.SIZE"	"RESPONSIBILITY.TYPE"	"YEARS.EMPLOYED.AT.COMPANY"	"AGE.CATEGORY"	"NUMBER.OF.OTHER.ASSOCS"	"PAID.BY.COMPANY"	"PRIMARY.TOPIC.AREA"	"SECONDARY.TOPIC.AREA"	"TERTIARY.TOPIC.AREA"	"DATE.LAST.MODIFIED"	"DATE.PULLED"	"MEMBER.FOCUS"	"AUTO.RENEWAL"	"MARKET.CODE"	"RENEW"
2143754	"PROFESSIONAL"	"Researchers"	1999-07-01	2015-06-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	"RKM Research & Communications"	"President"	"BUS"	"Portsmouth"	"NH"	"03801-4262"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	"Strategy/Planning"	NA	"Masters"	"20PLUS"	"CEO/President"	"Health Care Services"	"0 to 50 Million"	"10 to 49"	"B to C"	NA	"Decline"	"4 to 5"	"Y"	"Marketing Research"	NA	NA	"7/1/2011"	2015-02-28	NA	NA	NA	1
2198304	"PROFESSIONAL"	"Academics"	1999-06-01	2015-06-30	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	NA	"University of New Hampshire"	"Assistant Professor"	"BUS"	"Durham"	"NH"	"03824-3593"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	"Education"	NA	"Doctorate"	"10 to 19"	"Academic/Professor"	"Education"	NA	"50 to 249"	"B to B"	NA	"35 to 44"	"2 to 3"	"Y"	"Brand/Product Management"	"Product Management/Development"	NA	"7/31/2008"	2015-02-28	NA	NA	NA	0
2891613	"PROFESSIONAL"	"Marketers"	2003-05-22	2015-06-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	"Publish Today Media"	"Founder"	"BUS"	"Reading"	"MA"	"01867-3310"	"United States"	"WORK"	NA	"BUS"	"Hull"	"MA"	"2045"	"United States"	"No"	"Market Research  to  Client Side"	NA	"Bachelors"	"20PLUS"	"CEO/President"	"Publishing/Broadcast/Internet/Media"	"0 to 50 Million"	"1 to 9"	"B to B"	NA	"45 to 54"	"2 to 3"	"N"	"Database/CRM"	"Direct Marketing"	"Online/Interactive Marketing"	"10/28/2013"	2015-02-28	NA	NA	NA	0
2921804	"PROFESSIONAL"	"Researchers"	2004-06-22	2015-06-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	"Lesley University"	"Director  Market Research & Intelligence"	"HOME"	"Boston"	"MA"	"2118"	"United States"	"WORK"	NA	"BUS"	"Cambridge"	"MA"	"2138"	"United States"	"No"	"Market Research  to  Client Side"	NA	"Masters"	"20PLUS"	"Director/Sr. Director"	"Education"	"1 Billion plus"	"250 to 999"	"B to C"	NA	"45 to 54"	"0 to 1"	"N"	"Academia"	"Marketing Research"	NA	"5/7/2014"	2015-02-28	"NATIONAL"	NA	NA	1
2981358	"PROFESSIONAL"	"Marketers"	2005-03-01	2015-06-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	"Vivid Context"	"CEO"	"BUS"	"Mansfield"	"MA"	"2048"	"United States"	NA	NA	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	"High School"	"20PLUS"	"CMO"	"Advertising"	"0 to 50 Million"	"1 to 9"	"B to B"	"2 to 5"	"35 to 44"	"0 to 1"	"N"	"Direct Marketing"	"Marketing Communications"	"Strategy/Planning"	"1/15/2015"	2015-02-28	NA	NA	NA	1
3012889	"PROFESSIONAL"	"Marketers"	2006-06-07	2015-06-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	"Accredited Real Estate Academy"	"Director"	"BUS"	"Concord"	"NH"	"3301"	"United States"	"CELL"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"20PLUS"	"Director/Sr. Director"	"Education"	NA	"1 to 9"	"B to B"	NA	NA	NA	"N"	"Online/Interactive Marketing"	"Sales/Sales Management"	"Social Media"	"8/11/2014"	2015-02-28	"NATIONAL"	NA	NA	0
3113098	"PROFESSIONAL"	"Academics"	2009-01-22	2015-06-30	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	NA	NA	NA	"HOME"	"Somerville"	"MA"	"2144"	"United States"	"CELL"	NA	"SCHL"	"Boston"	"MA"	"2115"	"United States"	"No"	"Education"	"5/1/2010"	"Doctorate"	"5 to 9"	"Academic/Professor"	"Education"	NA	"50 to 249"	"B to C"	NA	NA	NA	"N"	"Analytics/Metrics"	"Brand/Product Management"	"Marketing Communications"	"6/19/2014"	2015-02-28	"NATIONAL"	NA	NA	0
3174445	"PROFESSIONAL"	"Marketers"	2009-11-10	2015-06-30	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	"Boston College"	"Managing Dir  Marketing and Communications"	"BUS"	"Chestnut Hill"	"MA"	"2467"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"Yes"	"Higher Education Marketing"	NA	"Masters"	"10 to 19"	"Director/Sr. Director"	"Nonprofit"	NA	"1000 to 4999"	"B to C"	NA	"22 to 34"	"0 to 1"	"Y"	"Brand/Product Management"	"Higher Education Marketing"	"Marketing Communications"	"11/19/2014"	2015-02-28	NA	NA	NA	1
3174446	"PROFESSIONAL"	"Marketers"	2009-11-13	2015-06-30	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	"Boston College"	"Sr Associate Dir/Marketing and Communications"	"BUS"	"Chestnut Hill"	"MA"	"2467"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"Yes"	"Higher Education Marketing"	NA	"Bachelors"	"Less Than 5"	"Director/Sr. Director"	"Nonprofit"	NA	"1000 to 4999"	"B to B"	NA	"35 to 44"	"0 to 1"	"N"	"Marketing Communications"	"Marketing Research"	"Strategy/Planning"	"4/25/2012"	2015-02-28	NA	NA	NA	1
3199802	"YOUNG PROFESSIONAL"	"Marketers"	2010-07-29	2015-06-30	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	"Northeastern University"	"Communications Specialist"	"HOME"	"Medford"	"MA"	"2155"	"United States"	"CELL"	NA	"BUS"	"Medford"	"MA"	"2155"	"United States"	"No"	NA	"5/1/2011"	"Masters"	"5 to 9"	"Other"	"Education"	NA	"10000 to 24999"	"B to C"	NA	"22 to 34"	"0 to 1"	"N"	"Academia"	"Online/Interactive Marketing"	"Marketing Communications"	"6/22/2014"	2015-02-28	"NATIONAL"	NA	NA	1
3230607	"PROFESSIONAL"	"Marketers"	2011-06-14	2015-06-30	"CURRENT"	"UNCONFIRMED"	"MS"	NA	NA	NA	NA	"Zoll Medical Corporatiion"	"Corporate Marketing Communications Manager"	"BUS"	"Chelmsford"	"MA"	"1824"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	NA	"Advertising"	"Direct Marketing"	"Email Marketing"	"6/14/2011"	2015-02-28	NA	NA	NA	0
3231077	"PROFESSIONAL"	"Marketers"	2011-06-20	2015-06-30	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	"Boston College"	"Senior Associate Director"	"BUS"	"Chestnut Hill"	"MA"	"2467"	"United States"	"WORK"	NA	"HOME"	"Malden"	"MA"	"2148"	"United States"	"Yes"	"Higher Education Marketing"	NA	"Masters"	"5 to 9"	"Account Executive/Director"	"Nonprofit"	NA	"250 to 999"	"B to C"	NA	"45 to 54"	"2 to 3"	"Y"	"Higher Education Marketing"	"Marketing Communications"	"Brand/Product Management"	"9/14/2011"	2015-02-28	NA	NA	NA	1
3258018	"PROFESSIONAL"	"Marketers"	2008-02-18	2015-06-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	"Magenius Marketing"	"Marketing Director"	"HOME"	"Rochester"	"NY"	"14610"	"United States"	"CELL"	NA	"HOME"	"Wakefield"	"MA"	"1880"	"United States"	"No"	NA	NA	"Masters"	"5 to 9"	"Manager/Sr. Manager"	"Other"	NA	"25000PLUS"	"B to B"	NA	NA	NA	"N"	"Database/CRM"	"Marketing Communications"	"Online/Interactive Marketing"	"10/1/2014"	2015-02-28	NA	NA	NA	0
3258516	"PROFESSIONAL"	"Academics"	2012-06-13	2015-06-30	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	NA	"Harvard University  Alumni Affairs and Development"	"Executive Director of Strategic Mktg & Communications"	"BUS"	"Cambridge"	"MA"	"2138"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"20PLUS"	"Director/Sr. Director"	"Education"	NA	"25000PLUS"	"B to C"	NA	NA	NA	"N"	"Academia"	"Higher Education Marketing"	"Marketing Communications"	"11/12/2013"	2015-02-28	NA	NA	NA	1
3258973	"PROFESSIONAL"	"Academics"	2012-06-25	2015-06-30	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	NA	"Rivier University"	"Associate Professor"	"SCHL"	"Nashua"	"NH"	"3054"	"United States"	"SCHL"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Doctorate"	"10 to 19"	"Academic/Professor"	"Education"	NA	"50 to 249"	"B to C"	NA	NA	NA	"N"	"Brand/Product Management"	"Consumer Products/Packaged Goods"	"Global Marketing"	"7/1/2014"	2015-02-28	NA	NA	NA	1
3259098	"PROFESSIONAL"	"Marketers"	2012-06-27	2015-06-30	"CURRENT"	"CONFIRMED"	"MRS"	NA	NA	NA	NA	"Vermong Energy Investment Corporation"	"Director of Marketing"	"BUS"	"Burlington"	"VT"	"5401"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"20PLUS"	"Director/Sr. Director"	"Nonprofit"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Green Marketing"	"Marketing Communications"	"Marketing Research"	"6/27/2013"	2015-02-28	NA	NA	NA	1
3259901	"PROFESSIONAL"	"Marketers"	2012-07-18	2015-06-30	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	"Boston College"	"Senior Associate Director  Auxiliary Services"	"BUS"	"Chestnut Hill"	"MA"	"2467"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	"Bachelors"	"10 to 19"	"Director/Sr. Director"	"Education"	NA	"1000 to 4999"	"B to C"	NA	NA	NA	"N"	"Higher Education Marketing"	"Marketing Communications"	"Social Media"	"7/18/2012"	2015-02-28	NA	NA	NA	1
3265426	"PROFESSIONAL"	"Marketers"	2012-10-19	2015-06-30	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	"Boston College"	NA	"BUS"	"Chestnut Hill"	"MA"	"2467"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	"Masters"	"10 to 19"	"Manager/Sr. Manager"	"Nonprofit"	NA	"1000 to 4999"	"B to C"	NA	NA	NA	"N"	"Analytics/Metrics"	"Higher Education Marketing"	"Marketing Communications"	"10/19/2012"	2015-02-28	NA	NA	NA	1
3273861	"PROFESSIONAL"	"Marketers"	2013-02-13	2015-06-30	"CURRENT"	"CONFIRMED"	"MRS"	NA	NA	NA	NA	"Harvard Medical School"	"Executive Director  Development Communications & Special Events"	"BUS"	"Boston"	"MA"	"2215"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"10 to 19"	"Director/Sr. Director"	"Education"	NA	"10000 to 24999"	"B to C"	NA	NA	NA	"N"	"Advertising"	"Brand/Product Management"	"Marketing Communications"	"6/16/2014"	2015-02-28	"NATIONAL"	NA	NA	1
3281589	"PROFESSIONAL"	"Marketers"	2013-06-05	2015-06-30	"CURRENT"	"CONFIRMED"	"MRS"	NA	NA	NA	NA	"Parchment"	"Sr. Marketing Manager"	"HOME"	"Pelham"	"NH"	"3076"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Bachelors"	"5 to 9"	"Manager/Sr. Manager"	"Education"	NA	"50 to 249"	"B to C"	NA	NA	NA	"N"	"Higher Education Marketing"	"Marketing Communications"	"Social Media"	"6/5/2013"	2015-02-28	NA	NA	NA	1
3281949	"PROFESSIONAL"	"Academics"	2013-06-12	2015-06-30	"CURRENT"	"CONFIRMED"	"PROF"	NA	NA	NA	NA	"Southern NH University"	"Asst Prof of Marketing"	"BUS"	"Manchester"	"NH"	"3106"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"20PLUS"	"Academic/Professor"	"Education"	NA	"1000 to 4999"	"B to C"	NA	NA	NA	"N"	"Database/CRM"	"Direct Marketing"	"Sales/Sales Management"	"6/12/2013"	2015-02-28	NA	NA	NA	1
3282284	"PROFESSIONAL"	"Marketers"	2013-06-18	2015-06-30	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	"Papa Gino's"	"Marketing Manager"	"HOME"	"Medford"	"MA"	"2155"	"United States"	"CELL"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"5 to 9"	"Manager/Sr. Manager"	"Food and Beverage"	NA	"1000 to 4999"	"B to C"	NA	NA	NA	"N"	"Analytics/Metrics"	"Brand/Product Management"	"Marketing Communications"	"4/28/2014"	2015-02-28	"CHAPTER"	NA	NA	0
3282295	"PROFESSIONAL"	"Marketers"	2013-06-18	2015-06-30	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	"Cummings School of  Veterinary Medicine at Tufts University"	"Marketing Director"	"BUS"	"North Grafton"	"MA"	"1536"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Decline"	"10 to 19"	"Director/Sr. Director"	"Education"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Brand/Product Management"	"Marketing Communications"	"Strategy/Planning"	"6/18/2013"	2015-02-28	"NATIONAL"	NA	NA	0
3306779	"YOUNG PROFESSIONAL"	"Marketers"	2014-06-02	2015-06-30	"CURRENT"	"UNCONFIRMED"	NA	NA	NA	NA	NA	"none"	"none"	"HOME"	"Hingham"	"MA"	"2043"	"United States"	"CELL"	NA	NA	NA	NA	NA	NA	"No"	NA	"5/17/2014"	"Bachelors"	"Less Than 5"	"Other"	"Other"	NA	"10 to 49"	"B to B"	NA	NA	NA	"N"	"Advertising"	"Career Development"	"Marketing Research"	"6/2/2014"	2015-02-28	"NATIONAL"	NA	NA	0
3306805	"PROFESSIONAL"	"Marketers"	2014-06-02	2015-06-30	"CURRENT"	"UNCONFIRMED"	NA	NA	NA	NA	NA	"Institute for Healthcare Improvement"	"Director  Customer and Program Marketing"	"BUS"	"Cambridge"	"MA"	"2138"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"5 to 9"	"Director/Sr. Director"	"Health Care Services"	NA	"50 to 249"	"B to C"	NA	NA	NA	"N"	"Customer Engagement"	"Online/Interactive Marketing"	"Mobile Marketing"	"6/2/2014"	2015-02-28	"CHAPTER"	NA	NA	0
3306944	"PROFESSIONAL"	"Academics"	2011-07-06	2015-06-30	"CURRENT"	"UNCONFIRMED"	"DR"	NA	NA	NA	NA	"Suffolk University"	"Assistant Professor of Marketing"	"BUS"	"Boston"	"MA"	"2108"	"United States"	"WORK"	NA	"BUS"	"Hamden"	"CT"	"6518"	"United States"	"No"	NA	NA	"Doctorate"	"10 to 19"	"Academic/Professor"	"Education"	NA	"10000 to 24999"	"B to C"	NA	NA	NA	"N"	"Advertising"	"Online/Interactive Marketing"	"Global Marketing"	"6/4/2014"	2015-02-28	"NATIONAL"	NA	NA	0
3307162	"PROFESSIONAL"	"Marketers"	2014-06-06	2015-06-30	"CURRENT"	"UNCONFIRMED"	"MRS"	NA	NA	NA	NA	"Vermont Energy Investment Corporation"	"Consumer Insights Manager"	"BUS"	"Burlington"	"VT"	"5401"	"United States"	"CELL"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"10 to 19"	"Manager/Sr. Manager"	"Utilities &  Energy"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Analytics/Metrics"	"Career Development"	"Database/CRM"	"6/6/2014"	2015-02-28	"NATIONAL"	NA	NA	1
3307203	"STUDENT"	"Student"	2014-06-08	2015-06-30	"CURRENT"	"UNCONFIRMED"	"MR"	NA	NA	NA	NA	"Volvo Car Group"	"Marketing Specialist"	"HOME"	"Oakville"	"ON"	"L6M3W5"	"Canada"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	"4/1/2016"	NA	NA	NA	NA	NA	NA	"B to C"	NA	NA	NA	"N"	"Direct Marketing"	"Global Marketing"	"Product Management/Development"	"6/8/2014"	2015-02-28	"NATIONAL"	NA	NA	0
3307283	"PROFESSIONAL"	"Marketers"	2014-06-10	2015-06-30	"CURRENT"	"UNCONFIRMED"	"MISS"	NA	NA	NA	NA	"Oracle"	"Enterprise CX Sales Representative"	"HOME"	"Boston"	"MA"	"2127"	"United States"	"CELL"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Bachelors"	"Less Than 5"	"Consultant"	"Technology(hardware/software/internet)"	NA	"25000PLUS"	"B to C"	NA	NA	NA	"N"	"Database/CRM"	"Online/Interactive Marketing"	"Sales/Sales Management"	"6/10/2014"	2015-02-28	"CHAPTER"	NA	NA	0
3307721	"YOUNG PROFESSIONAL"	"Marketers"	2014-06-17	2015-06-30	"CURRENT"	"UNCONFIRMED"	"MISS"	NA	NA	NA	NA	"EdgeRock Technology Partners"	"Marketing Administrator"	"BUS"	"Boston"	"MA"	"2110"	"United States"	"CELL"	NA	NA	NA	NA	NA	NA	"No"	NA	"5/18/2013"	"Bachelors"	"Less Than 5"	"Assitant/Coordinator"	"Technology(hardware/software/internet)"	NA	"50 to 249"	"B to B"	NA	NA	NA	"N"	"Brand/Product Management"	"Career Development"	"Online/Interactive Marketing"	"6/17/2014"	2015-02-28	"CHAPTER"	NA	NA	1
3308022	"PROFESSIONAL"	"Marketers"	2014-06-23	2015-06-30	"CURRENT"	"UNCONFIRMED"	"MS"	NA	NA	NA	NA	"Enernoc"	"Senior Marketing Specialist "	"BUS"	"Boston"	"MA"	"2210"	"United States"	"CELL"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"5 to 9"	"Manager/Sr. Manager"	"Nonprofit"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Analytics/Metrics"	"Brand/Product Management"	"Marketing Research"	"1/20/2015"	2015-02-28	"NATIONAL"	NA	NA	0
3308244	"PROFESSIONAL"	"Marketers"	2011-08-05	2015-06-30	"CURRENT"	"UNCONFIRMED"	"MS"	NA	NA	NA	NA	"Software Company"	"Marketing Professional"	"HOME"	"Ayer"	"MA"	"1432"	"United States"	"CELL"	NA	"HOME"	"Ayer"	"MA"	"1432"	"United States"	"No"	NA	NA	"Masters"	"20PLUS"	"Other"	"Technology(hardware/software/internet)"	NA	"50 to 249"	"B to B"	NA	NA	NA	"N"	"Database/CRM"	"Brand/Product Management"	"Marketing Communications"	"1/5/2015"	2015-02-28	"CHAPTER"	NA	NA	0
3308419	"YOUNG PROFESSIONAL"	"Marketers"	2014-07-01	2015-06-30	"CURRENT"	"UNCONFIRMED"	"MISS"	NA	NA	NA	NA	"Deloitte"	"Senior Marketing Specialist"	"BUS"	"Boston"	"MA"	"2116"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	"5/26/2013"	"Bachelors"	"Less Than 5"	"Other"	"Financial Services"	NA	"25000PLUS"	"B to B"	NA	NA	NA	"N"	"Consumer Products/Packaged Goods"	"Online/Interactive Marketing"	"Merchandising/Retailing"	"7/1/2014"	2015-02-28	"CHAPTER"	NA	NA	1
2002623	"PROFESSIONAL"	"Academics"	1992-01-31	2015-07-31	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	NA	NA	"Associate Professor"	"HOME"	"Franklin"	"MA"	"2038"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	"Education"	"12/1/1992"	"Doctorate"	"10 to 19"	"Academic/Professor"	"Education"	"51M to 100M"	"250 to 999"	"B to C"	NA	"45 to 54"	NA	"N"	"Global Marketing"	"Academia"	"Strategy/Planning"	"5/21/2008"	2015-03-31	NA	NA	NA	0
2962706	"PROFESSIONAL"	"Marketers"	2005-07-05	2015-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	"IHRSA"	"Senior Marketing Manager"	"BUS"	"Boston"	"MA"	"2210"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	"Direct Marketing"	NA	"Bachelors"	"5 to 9"	"Manager/Sr. Manager"	"Nonprofit"	"0 to 50 Million"	"50 to 249"	"B to B"	NA	"22 to 34"	"2 to 3"	"Y"	"Event Management Marketing"	"Nonprofit Marketing"	"Advertising"	"7/13/2009"	2015-03-31	NA	NA	NA	1
3169690	"PROFESSIONAL"	"Marketers"	2009-10-06	2015-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	"Suffolk University College of Arts & Sciences"	"Director of Marketing & Communications"	"BUS"	"Boston"	"MA"	"2114"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	"Masters"	"10 to 19"	"Director/Sr. Director"	"Education"	"0 to 50 Million"	"50 to 249"	"B to C"	NA	"35 to 44"	"2 to 3"	"N"	"Brand/Product Management"	"Higher Education Marketing"	"Online/Interactive Marketing"	"11/4/2013"	2015-03-31	NA	NA	NA	0
3170702	"PROFESSIONAL"	"Marketers"	2010-07-29	2015-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	"Brandeis University"	"Senior Director of Marketing and Communications"	"BUS"	"Waltham"	"MA"	"2454"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	"Other"	NA	"Bachelors"	"20PLUS"	"Director/Sr. Director"	"Education"	NA	"10 to 49"	"B to C"	NA	"45 to 54"	"2 to 3"	"N"	"Advertising"	"Brand/Product Management"	NA	"10/22/2014"	2015-03-31	"CHAPTER"	NA	NA	1
3196546	"PROFESSIONAL"	"Academics"	2014-07-25	2015-07-31	"CURRENT"	"CONFIRMED"	"DR"	NA	NA	NA	NA	"Bentley University"	"Assistant Professor"	"BUS"	"Waltham"	"MA"	"2452"	"United States"	"WORK"	NA	"BUS"	"Atlanta"	"GA"	"30314"	NA	"No"	NA	NA	"Doctorate"	"20PLUS"	NA	NA	NA	NA	"B to C"	NA	"55 to 64"	"2 to 3"	"Y"	"Strategy/Planning"	"Academia"	"Customer Engagement"	"7/25/2014"	2015-03-31	NA	NA	NA	0
3224476	"PROFESSIONAL"	"Marketers"	2012-07-05	2015-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	NA	NA	"HOME"	"Northborough"	"MA"	"1532"	"United States"	"CELL"	NA	NA	NA	NA	NA	NA	"No"	"Online/Interactive"	NA	"Masters"	"20PLUS"	"Other"	"Telecommunications"	"0 to 50 Million"	"1 to 9"	"B to C"	NA	"45 to 54"	"2 to 3"	"N"	"Database/CRM"	"Online/Interactive Marketing"	"Social Media"	"9/15/2014"	2015-03-31	"CHAPTER"	NA	NA	1
3233591	"PROFESSIONAL"	"Marketers"	2011-07-26	2015-07-31	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	NA	"Gordon College"	"Vice President  Marketing and Strategic Communications"	"BUS"	"Wenham"	"MA"	"1984"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	"Masters"	"10 to 19"	"Vice President/EVP"	"Education"	NA	"50 to 249"	"B to C"	NA	"45 to 54"	"2 to 3"	"Y"	"Academia"	"Higher Education Marketing"	NA	"7/26/2011"	2015-03-31	NA	NA	NA	1
3248316	"PROFESSIONAL"	"Marketers"	2012-07-13	2015-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	"Northeastern University"	"Associate Director  Marketing  Communications  and Stewardship"	"BUS"	"Boston"	"MA"	"2120"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	"Marketing Communications"	NA	"Masters"	"5 to 9"	"Manager/Sr. Manager"	"Education"	NA	"1000 to 4999"	"B to C"	NA	"22 to 34"	"0 to 1"	"N"	"Marketing Communications"	"Strategy/Planning"	NA	"6/10/2014"	2015-03-31	"NATIONAL"	NA	NA	1
3256533	"PROFESSIONAL"	"Marketers"	2006-10-25	2015-07-31	"CURRENT"	"CONFIRMED"	NA	NA	NA	NA	NA	"Compuware"	"Field Marketing Analyst"	"HOME"	"Littleton"	"MA"	"2451"	"United States"	"CELL"	NA	"SCHL"	"North Andover"	"MA"	"1845"	"United States"	"No"	NA	"5/1/2010"	"Bachelors"	"Less Than 5"	"Manager/Sr. Manager"	"Technology(hardware/software/internet)"	NA	"1000 to 4999"	"B to B"	NA	NA	NA	"N"	"Direct Marketing"	"Event Management Marketing"	"Marketing Research"	"7/21/2014"	2015-03-31	"NATIONAL"	NA	NA	0
3257583	"PROFESSIONAL"	"Marketers"	2012-05-23	2015-07-31	"CURRENT"	"CONFIRMED"	"MS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	"5/19/2010"	"Bachelors"	"Less Than 5"	"Analyst"	"Financial Services"	NA	"250 to 999"	"B to B"	NA	NA	NA	"N"	"Analytics/Metrics"	"Career Development"	"Online/Interactive Marketing"	"7/31/2014"	2015-03-31	"NATIONAL"	NA	NA	0
3259321	"PROFESSIONAL"	"Marketers"	2012-07-03	2015-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	"N/A"	"Marketing and Communications Professional"	"HOME"	"Framingham"	"MA"	"1701"	"United States"	"CELL"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Masters"	"10 to 19"	"Director/Sr. Director"	"Utilities &  Energy"	NA	"250 to 999"	"B to B"	NA	NA	NA	"N"	"Brand/Product Management"	"Marketing Communications"	"Marketing Research"	"7/9/2014"	2015-03-31	NA	NA	NA	0
3259648	"PROFESSIONAL"	"Marketers"	2012-07-03	2015-07-31	"CURRENT"	"CONFIRMED"	"MR"	NA	NA	NA	NA	"Massachusetts Medical Society"	"Director of Membership"	"BUS"	"Waltham"	"MA"	"2451"	"United States"	"WORK"	NA	NA	NA	NA	NA	NA	"No"	NA	NA	"Bachelors"	"20PLUS"	"Director/Sr. Director"	"Health Care Services"	NA	"250 to 999"	"B to C"	NA	NA	NA	"N"	"Brand/Product Management"	"Customer Engagement"	"Direct Marketing"	"8/21/2013"	2015-03-31	NA	NA	NA	1
